Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Pushing Tin,33000000,8408835,1999,4,23,Pushing Tin,43.0,48.0,123.0,John Cusack,Billy Bob Thornton,Cate Blanchett,tt0120797,47.0,"English, French",Mike Newell,"Comedy, Drama, Romance",6.0,22159.0,0,1,0,4
Goal! The Dream Begins,33000000,4283255,2006,5,12,Goal! The Dream Begins (Goal!: The Impossible Dream),78.0,44.0,121.0,Leonardo Guerra,Tony Plana,Miriam Colon,tt0380389,53.0,"English, Spanish",Danny Cannon,"Drama, Romance, Sport",6.8,39549.0,1,0,0,4
Star Wars Ep. VI: Return of the Jedi,32500000,309205079,1983,5,25,Star Wars: Episode VI - Return of the Jedi,95.0,78.0,133.0,Mark Hamill,Harrison Ford,Carrie Fisher,tt0086190,52.0,English,Richard Marquand,"Action, Adventure, Fantasy",8.4,435424.0,1,0,0,2
Bridesmaids,32500000,169106725,2011,5,13,Bridesmaids,76.0,90.0,125.0,Kristen Wiig,Maya Rudolph,Rose Byrne,tt1478338,75.0,English,Paul Feig,"Comedy, Romance",6.9,164543.0,0,1,0,4
The Reader,32500000,34194407,2008,12,10,The Reader,79.0,61.0,123.0,Kate Winslet,Ralph Fiennes,David Kross,tt0976051,58.0,"English, German, Greek, Latin",Stephen Daldry,"Drama, Romance",7.6,145999.0,0,1,0,2
The Big Wedding,32500000,21819348,2013,4,26,The Big Wedding,41.0,7.0,89.0,Robert De Niro,Diane Keaton,Susan Sarandon,tt1931435,28.0,"English, Spanish, Latin",Justin Zackham,Comedy,5.5,22512.0,0,1,0,4
Wanderlust,32500000,17288155,2012,2,24,Wanderlust,40.0,59.0,80.0,Paul Rudd,Jennifer Aniston,Justin Theroux,tt1655460,53.0,English,David Wain,Comedy,5.6,48660.0,0,1,0,4
Elf,32000000,173398518,2003,11,7,Elf,78.0,84.0,95.0,Will Ferrell,Edward Asner,James Caan,tt0319343,64.0,English,Jon Favreau,"Comedy, Family, Fantasy",6.9,107137.0,1,0,0,4
Phenomenon,32000000,104636382,1996,7,5,Phenomenon,60.0,50.0,124.0,John Travolta,Kyra Sedgwick,Forest Whitaker,tt0117333,41.0,English,Jon Turteltaub,"Drama, Fantasy, Romance",6.4,53419.0,1,0,1,4
This is the End,32000000,101470202,2013,6,12,This Is the End,73.0,83.0,107.0,James Franco,Jonah Hill,Seth Rogen,tt1245492,67.0,"English, Spanish","Evan Goldberg, Seth Rogen","Comedy, Fantasy",6.9,178404.0,0,1,0,2
Snow Dogs,32000000,81150692,2002,1,18,Snow Dogs,40.0,24.0,99.0,Cuba Gooding Jr.,James Coburn,Sisqo,tt0281373,29.0,English,Brian Levant,"Adventure, Comedy, Family",5.0,15460.0,1,0,0,4
Nacho Libre,32000000,80197993,2006,6,16,Nacho Libre,54.0,40.0,100.0,Jack Black,Hector Jimenez,Ana de la Reguera,tt0457510,52.0,"English, Spanish",Jared Hess,"Comedy, Family, Sport",5.7,54047.0,1,0,1,4
Scrooged,32000000,60328558,1988,11,23,Scrooged,72.0,66.0,100.0,Bill Murray,Karen Allen,John Forsythe,tt0096061,38.0,English,Richard Donner,"Comedy, Drama, Fantasy",7.0,46008.0,1,0,1,2
Takers,32000000,57744720,2010,8,27,Takers,62.0,28.0,107.0,Matt Dillon,Idris Elba,Tip 'T.I.' Harris,tt1135084,45.0,English,John Luessenhop,"Action, Crime, Thriller",6.2,36706.0,1,0,0,4
Source Code,32000000,54712227,2011,4,1,Source Code,81.0,92.0,93.0,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,tt0945513,74.0,English,Duncan Jones,"Mystery, Sci-Fi, Thriller",7.5,265507.0,1,0,0,4
Stigmata,32000000,50041732,1999,9,10,Stigmata,64.0,22.0,102.0,Patricia Arquette,Gabriel Byrne,Jonathan Pryce,tt0145531,28.0,"English, Assyrian Neo-Aramaic, Portuguese, Italian, Aramaic",Rupert Wainwright,"Horror, Thriller",6.2,47134.0,0,1,0,4
Men of Honor,32000000,48814909,2000,11,10,Men of Honor,82.0,41.0,129.0,Robert De Niro,Cuba Gooding Jr.,Charlize Theron,tt0203019,56.0,English,George Tillman Jr.,"Biography, Drama",7.1,72734.0,0,1,1,4
"Big Mommas: Like Father, Like Son",32000000,37915414,2011,2,18,"Big Mommas: Like Father, Like Son",58.0,5.0,107.0,Martin Lawrence,Brandon T. Jackson,Jessica Lucas,tt1464174,22.0,English,John Whitesell,"Action, Comedy, Crime",4.2,14569.0,1,0,0,4
Dreamer: Inspired by a True Story,32000000,33022286,2005,10,21,Dreamer: Inspired by a True Story,79.0,64.0,106.0,Kurt Russell,Dakota Fanning,Elisabeth Shue,tt0418647,59.0,English,John Gatins,"Drama, Family, Sport",6.9,8288.0,1,0,0,4
A History of Violence,32000000,31493782,2005,9,23,A History of Violence,76.0,87.0,95.0,Viggo Mortensen,Maria Bello,Ashton Holmes,tt0399146,81.0,English,David Cronenberg,"Crime, Drama, Thriller",7.5,153522.0,0,1,0,4
The Incredible Burt Wonderstone,32000000,22537881,2013,3,15,The Incredible Burt Wonderstone,34.0,36.0,100.0,Steve Carell,Steve Buscemi,Olivia Wilde,tt0790628,44.0,English,Don Scardino,Comedy,5.9,43528.0,1,0,0,4
The Quick and the Dead,32000000,18552460,1995,2,10,The Quick and the Dead,54.0,55.0,105.0,Sharon Stone,Gene Hackman,Russell Crowe,tt0114214,49.0,"English, Spanish",Sam Raimi,"Action, Thriller, Western",6.4,55808.0,0,1,0,4
Laws of Attraction,32000000,17848322,2004,4,30,Laws of Attraction,47.0,17.0,89.0,Pierce Brosnan,Julianne Moore,Michael Sheen,tt0323033,38.0,English,Peter Howitt,"Comedy, Romance",5.8,15522.0,1,0,0,4
Bringing Out The Dead,32000000,16640210,1999,10,22,Bringing Out the Dead,71.0,71.0,118.0,Nicolas Cage,Patricia Arquette,John Goodman,tt0163988,70.0,English,Martin Scorsese,"Drama, Thriller",6.8,46262.0,0,1,0,4
Repo Men,32000000,13942007,2010,3,19,Repo Men,41.0,22.0,119.0,Jude Law,Forest Whitaker,Alice Braga,tt1053424,32.0,"English, Spanish",Miguel Sapochnik,"Action, Crime, Sci-Fi",6.3,73449.0,0,1,0,4
D-War,32000000,10977721,2007,9,14,Dragon Wars,19.0,26.0,90.0,Jason Behr,Amanda Brooks,Robert Forster,tt0372873,33.0,"English, Korean",Hyung-rae Shim,"Action, Drama, Fantasy",3.6,19728.0,1,0,0,4
Cradle Will Rock,32000000,2899970,1999,12,8,Cradle Will Rock,72.0,64.0,133.0,Hank Azaria,Ruben Blades,Joan Cusack,tt0150216,64.0,"English, Italian",Tim Robbins,Drama,6.9,7493.0,0,1,0,2
The Good German,32000000,1308696,2006,12,15,The Good German,34.0,33.0,108.0,George Clooney,Cate Blanchett,Tobey Maguire,tt0452624,49.0,"English, German, Russian",Steven Soderbergh,"Drama, Mystery, Thriller",6.1,19176.0,0,1,0,4
